Player,Wk,Opp,Result,Rec_R,Yds_R,Lng_R,TD_R,Att,Yds,Avg,Lng,TD,Fum,Lost
Ja'Marr Chase,18,@Steelers,W 19 - 17,10,96,9.6,19,1,,,,,,
Ja'Marr Chase,17,Broncos,W 30 - 24,9,102,11.3,38,0,,,,,,
Ja'Marr Chase,16,Browns,W 24 - 6,6,97,16.2,32,1,1,7,7,7,0,
Ja'Marr Chase,15,@Titans,W 37 - 27,9,94,10.4,29,0,,,,,,
Ja'Marr Chase,14,@Cowboys,W 27 - 20,14,177,12.6,40,2,1,14,14,14,0,
Ja'Marr Chase,13,Steelers,L 38 - 44,6,86,14.3,49,1,,,,,,
Ja'Marr Chase,11,@Chargers,L 27 - 34,7,75,10.7,32,2,,,,,,
Ja'Marr Chase,10,@Ravens,L 34 - 35,11,264,24,70,3,,,,,,
Ja'Marr Chase,9,Raiders,W 41 - 24,7,43,6.1,11,0,,,,,,
Ja'Marr Chase,8,Eagles,L 17 - 37,9,54,6,13,1,,,,,,
Ja'Marr Chase,7,@Browns,W 21 - 14,5,55,11,18,1,1,11,11,11,0,
Ja'Marr Chase,6,@Giants,W 17 - 7,5,72,14.4,33,0,,,,,,
Ja'Marr Chase,5,Ravens,L 38 - 41,10,193,19.3,70,2,,,,,,
Ja'Marr Chase,4,@Panthers,W 34 - 24,3,85,28.3,63,1,,,,,,
Ja'Marr Chase,3,Commanders,L 33 - 38,6,118,19.7,41,2,,,,,,
Ja'Marr Chase,2,@Chiefs,L 25 - 26,4,35,8.8,13,0,,,,,,
Ja'Marr Chase,1,Patriots,L 10 - 16,6,62,10.3,28,0,,,,,,
Amon-Ra St. Brown,18,Vikings,W 31 - 9,6,77,12.8,23,0,,,,,,
Amon-Ra St. Brown,17,@49ers,W 40 - 34,8,60,7.5,14,1,,,,,,
Amon-Ra St. Brown,16,@Bears,W 34 - 17,6,70,11.7,28,1,,,,,,
Amon-Ra St. Brown,15,Bills,L 42 - 48,14,193,13.8,66,1,,,,,,1
Amon-Ra St. Brown,14,Packers,W 34 - 31,5,43,8.6,16,0,1,10,10,10,0,
Amon-Ra St. Brown,13,Bears,W 23 - 20,5,73,14.6,29,0,,,,,,
Amon-Ra St. Brown,12,@Colts,W 24 - 6,6,62,10.3,15,0,,,,,,
Amon-Ra St. Brown,11,Jaguars,W 52 - 6,11,161,14.6,27,2,1,-4,-4,-4,0,
Amon-Ra St. Brown,10,@Texans,W 26 - 23,6,60,10,15,1,,,,,,
Amon-Ra St. Brown,9,@Packers,W 24 - 14,7,56,8,26,1,,,,,,
Amon-Ra St. Brown,8,Titans,W 52 - 14,2,7,3.5,6,1,,,,,,
Amon-Ra St. Brown,7,@Vikings,W 31 - 29,8,112,14,35,1,,,,,,
Amon-Ra St. Brown,6,@Cowboys,W 47 - 9,4,37,9.2,16,1,,,,,,
Amon-Ra St. Brown,4,Seahawks,W 42 - 29,6,45,7.5,17,1,,,,,,
Amon-Ra St. Brown,3,@Cardinals,W 20 - 13,7,75,10.7,20,1,,,,,,
Amon-Ra St. Brown,2,Buccaneers,L 16 - 20,11,119,10.8,20,0,,,,,,
Amon-Ra St. Brown,1,Rams,W 26 - 20,3,13,4.3,5,0,,,,,,
Brock Bowers,18,Chargers,L 20 - 34,4,50,12.5,21,1,,,,,,
Brock Bowers,17,@Saints,W 25 - 10,7,77,11,17,0,1,-1,-1,-1,0,
Brock Bowers,16,Jaguars,W 19 - 14,11,99,9,32,0,,,,,,
Brock Bowers,15,Falcons,L 9 - 15,3,35,11.7,22,0,,,,,,
Brock Bowers,14,@Buccaneers,L 13 - 28,3,49,16.3,25,0,1,3,3,3,0,
Brock Bowers,13,@Chiefs,L 17 - 19,10,140,14,33,1,1,2,2,2,0,
Brock Bowers,12,Broncos,L 19 - 29,4,38,9.5,13,0,,,,,,
Brock Bowers,11,@Dolphins,L 19 - 34,13,126,9.7,23,1,1,-3,-3,-3,0,
Brock Bowers,9,@Bengals,L 24 - 41,5,45,9,22,1,,,,,,
