Player,Wk,Opp,Result,Att_R,Rds_R,Avg_R,Lng_R,TD_R,Rec,Yds,Avg,Lng,TD,Fum,Lost
Saquon Barkley,18,Giants,W 20 - 13,,,,,,,,,,,,
Saquon Barkley,17,Cowboys,W 41 - 7,31,167,5.4,23,0,2,2,1,7,0,,
Derrick Henry,18,Browns,W 35 - 10,20,138,6.9,43,2,2,23,11.5,13,0,,
Derrick Henry,17,@Texans,W 31 - 2,27,147,5.4,20,1,2,18,9,14,0,,
Bijan Robinson,18,Panthers,L 38 - 44,28,170,6.1,20,2,2,3,1.5,5,0,,
Bijan Robinson,17,@Commanders,L 24 - 30,17,90,5.3,13,2,3,8,2.7,6,0,1,0
Jonathan Taylor,18,Jaguars,W 26 - 23,34,177,5.2,17,1,1,3,3,3,0,,
Jonathan Taylor,17,@Giants,L 33 - 45,32,125,3.9,26,2,2,11,5.5,7,0,,
Jahmyr Gibbs,18,Vikings,W 31 - 9,23,139,6,47,3,5,31,6.2,14,1,,
Jahmyr Gibbs,17,@49ers,W 40 - 34,18,117,6.5,30,1,4,46,11.5,19,0,,
Josh Jacobs,18,Bears,L 22 - 24,6,44,7.3,12,1,1,2,2,2,0,,
Josh Jacobs,17,@Vikings,L 25 - 27,17,69,4.1,13,1,,,,,,1,1
Kyren Williams,18,Seahawks,L 25 - 30,,,,,,,,,,,,
Kyren Williams,17,Cardinals,W 13 - 9,13,56,4.3,18,1,3,16,5.3,6,0,,
Chuba Hubbard,16,Cardinals,W 36 - 30,25,152,6.1,28,2,4,13,3.2,6,0,,
Chuba Hubbard,15,Cowboys,L 14 - 30,10,32,3.2,12,0,4,17,4.2,6,0,,
Aaron Jones,18,@Lions,L 9 - 31,10,45,4.5,8,0,5,30,6,10,0,,
Aaron Jones,17,Packers,W 27 - 25,12,47,3.9,13,0,4,30,7.5,13,0,,
Bucky Irving,18,Saints,W 27 - 19,19,89,4.7,25,1,2,-5,-2.5,2,0,,
Bucky Irving,17,Panthers,W 48 - 14,20,113,5.6,34,0,4,77,19.2,42,0,,
James Conner,17,@Rams,L 9 - 13,4,4,1,2,0,2,4,2,2,0,,
James Conner,16,@Panthers,L 30 - 36,15,117,7.8,40,1,4,49,12.2,36,0,,
Rico Dowdle,18,Commanders,L 19 - 23,22,72,3.3,10,1,2,12,6,12,0,,
Rico Dowdle,17,@Eagles,L 7 - 41,23,104,4.5,17,0,1,4,4,4,0,1,1
Tony Pollard,18,Texans,L 14 - 23,22,62,2.8,11,0,,,,,,,
Tony Pollard,17,@Jaguars,L 13 - 20,,,,,,,,,,,,
Najee Harris,18,Bengals,L 17 - 19,12,36,3,11,1,4,20,5,12,0,,
Najee Harris,17,Chiefs,L 10 - 29,13,74,5.7,20,0,2,7,3.5,5,0,,
Joe Mixon,18,@Titans,W 23 - 14,5,23,4.6,10,0,1,5,5,5,0,,
Joe Mixon,17,Ravens,L 2 - 31,9,26,2.9,8,0,2,13,6.5,10,0,,
James Cook,18,@Patriots,L 16 - 23,10,28,2.8,7,1,,,,,,,
James Cook,17,Jets,W 40 - 14,15,53,3.5,8,1,,,,,,,
Chase Brown,18,@Steelers,W 19 - 17,,,,,,,,,,,,
Chase Brown,17,Broncos,W 30 - 24,20,67,3.4,9,0,4,24,6,11,0,,
D'Andre Swift,18,@Packers,W 24 - 22,20,65,3.2,14,1,0,0,,0,0,,
D'Andre Swift,17,Seahawks,L 3 - 6,12,53,4.4,12,0,4,28,7,24,0,,
Alvin Kamara,18,@Buccaneers,L 19 - 27,,,,,,,,,,,,
Alvin Kamara,17,Raiders,L 10 - 25,,,,,,,,,,,,
Lamar Jackson,18,Browns,W 35 - 10,16,32,217,6.8,2,0,0,0,92.8,9,63,7
Lamar Jackson,17,@Texans,W 31 - 2,10,15,168,11.2,2,0,1,3,143.9,4,87,21.8
De'Von Achane,18,@Jets,L 20 - 32,11,121,11,61,1,,,,,,,
De'Von Achane,17,@Browns,W 20 - 3,10,25,2.5,9,0,2,13,6.5,12,0,,
J.K. Dobbins,18,@Raiders,W 34 - 20,18,63,3.5,10,0,3,12,4,9,0,,
J.K. Dobbins,17,@Patriots,W 40 - 7,19,76,4,13,1,1,7,7,7,0,,
Jayden Daniels,18,@Cowboys,W 23 - 19,6,12,38,3.2,0,0,4,18,56.9,4,27,6.8
Jayden Daniels,17,Falcons,W 30 - 24,24,36,227,6.3,3,1,5,31,100.1,16,127,7.9
Breece Hall,18,Dolphins,W 32 - 20,12,57,4.8,17,0,3,15,5,6,1,,
Breece Hall,17,@Bills,L 14 - 40,10,45,4.5,17,0,1,8,8,8,0,,
Tyrone Tracy Jr.,18,@Eagles,L 13 - 20,14,59,4.2,16,0,2,7,3.5,5,0,,
Tyrone Tracy Jr.,17,Colts,W 45 - 33,20,59,3,40,0,2,14,7,13,0,1,0
